,Species,Intercept,Corrs,MAE,MAE_Base,bFFP_Annual,NFFD_wt_Annual,PAS_wt_Annual,NFFD_sp_Annual,PAS_sp_Annual
0,Abronia elliptica,142.8987517,0.14568626,21.70149642,25.444749,0.248253848,-0.163586352,-0.109536972,-0.297335095,0
1,Abronia villosa,257.3162743,0.150756894,35.89661893,40.39722992,0.259325579,-0.177012968,0,-1.93027305,0
2,Abutilon incanum,-31.37623599,0.059836905,79.67353004,80.99001479,1.927989469,3.747751819,0.41994334,-0.93228411,0.047195782
3,Acamptopappus sphaerocephalus,99.32796242,0.049731413,20.32899124,22.62081824,0.384698654,0.232900693,0.09206254,-0.163673464,-0.003487886
4,Acer circinatum,168.046729,0,37.91073456,37.91073456,0,0,-2.37E-18,0,0
5,Acer glabrum,129.6080317,0.261099062,25.95961248,31.9178583,0.392710122,1.494553077,0.007509913,-1.070462387,0.01177104
6,Acer macrophyllum,106.2816264,0.127540311,43.19782509,47.12497375,0.416033931,0,0.105308635,0,0
7,Acer negundo,98.13035079,0.075964193,28.7475798,30.14540289,0.298262596,0,-0.093406836,0,0
8,Achillea lanulosa,167.5032499,0.16205913,18.4066876,20.05362914,0.164981248,-0.043662476,0.081532877,-0.174229845,-0.072076209
9,Achillea millefolium,174.1121524,0.237153385,20.9200256,24.79675135,0.189921719,0,0.013647711,-0.330933261,0.02353614
10,Achyronychia cooperi,676.420867,0.128655729,27.73924927,29.998388,-0.180218211,-0.435687275,-3.724344344,-6.152181359,0
11,Acmispon brachycarpus,100.5545199,0.193852957,21.29633379,24.0439922,0.300524558,0.491369587,0.519522257,-0.485956247,0.106425531
12,Acmispon maritimus,409.0986916,0.183166773,22.78298035,25.6904716,-0.498533625,0,0,-3.284623089,0
13,Acmispon parviflorus,119.3968177,0.32832367,18.62382498,23.0700831,0.247608205,0,0.185589915,-0.071366295,0
14,Acmispon wrangelianus,144.7856693,0.120588054,18.74011998,20.02222878,-0.054207405,0.13562859,1.123604982,-0.4995154,0.004545431
15,Aconitum columbianum,186.3586866,0.047814819,14.13787221,14.66436862,0.103890667,0.256983345,-0.000414319,0,0.027867868
16,Aconogonon phytolaccifolium,127.7703264,0.096555717,11.74324785,12.74747349,0.367016674,0.216617723,0.004238513,0.356248804,0.017897538
